id,title,description,name,currency,isPublic,shouldSynchronize,price,taxPercent,total,stripeProductId,stripePriceId,createdAt,updatedAt,deletedAt,startPrice,startTotal,stripeStartPriceId,taxId,project,interval,intervalCount,productId,type
68,ControlPlus Subscription for 1 month,CP+ Subscription Monthly Plan PPG,108817,USD,t,f,14.99,20.00,14.99,,,2025-03-20 11:46:02.913906,2025-12-03 13:42:54.893036,,14.99,14.99,,9,controlplus,month,1,,main
69,ControlPlus Subscription 3 months,CP+ Subscription Quarterly Plan PPG,108816,USD,t,f,34.99,20.00,34.99,,,2025-03-20 11:46:02.934257,2025-12-03 13:42:54.973449,,34.99,34.99,,9,controlplus,month,3,,main
70,ControlPlus Subscription 6 months,CP+ Subscription Half-year Plan PPG,108810,USD,t,f,49.99,20.00,49.99,,,2025-03-20 11:46:02.944445,2025-12-03 13:42:55.072171,,49.99,49.99,,9,controlplus,month,6,,main
71,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_monthly_web2wave_old,USD,t,t,12.49,20.00,14.99,prod_Rz0w3b1eoofJSF,price_1R52uNGPQMseK89O99GNQdR5,2025-03-21 10:33:56.095515,2025-05-16 09:46:51.722452,,12.49,14.99,price_1R52uNGPQMseK89O99GNQdR5,4,controlplus,month,1,,main
72,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly_web2wave_old,USD,t,t,29.15,20.00,34.99,prod_Rz0wkTKVA1qReC,price_1R52uPGPQMseK89OhV8bfoLm,2025-03-21 10:33:56.2566,2025-05-16 09:46:51.819525,,29.15,34.99,price_1R52uPGPQMseK89OhV8bfoLm,4,controlplus,month,3,,main
73,CP+ Subscription half-year,CP+ Subscription Half-year Plan,upplus_halfyear_web2wave_old,USD,t,t,41.65,20.00,49.99,prod_Rz0w8tReoAGvvQ,price_1R52uRGPQMseK89OzE8sRSzz,2025-03-21 10:33:56.403315,2025-05-16 09:46:51.906324,,41.65,49.99,price_1R52uRGPQMseK89OzE8sRSzz,4,controlplus,month,6,,main
74,Dev ControlPlus Subscription for 1 month,CP+ Subscription Monthly Plan PPG,110397,USD,t,f,14.99,20.00,14.99,,,2025-03-26 12:25:25.181284,2025-05-27 10:25:09.015478,,14.99,14.99,,4,controlplus,month,1,,main
75,Dev ControlPlus Subscription 3 months,CP+ Subscription Quarterly Plan PPG,110398,USD,t,f,34.99,20.00,34.99,,,2025-03-26 12:25:25.201807,2025-05-27 10:25:09.024894,,34.99,34.99,,4,controlplus,month,3,,main
76,Dev ControlPlus Subscription 6 months,CP+ Subscription Half-year Plan PPG,110399,USD,t,f,49.99,20.00,49.99,,,2025-03-26 12:25:25.211582,2025-05-27 10:25:09.031034,,49.99,49.99,,4,controlplus,month,6,,main
77,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_monthly_24_99_old,USD,t,t,20.85,20.00,24.99,prod_S8MIPAQnNiJR6Z,price_1RE5ZYGPQMseK89OQbZhPXKi,2025-04-15 06:05:07.288273,2025-05-16 09:46:51.98547,,20.85,24.99,price_1RE5ZYGPQMseK89OQbZhPXKi,4,controlplus,month,1,,main
78,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_monthly_19_99_old,USD,t,t,16.66,20.00,19.99,prod_S8MIed3A9EleKS,price_1RE5ZaGPQMseK89O5XEJ6VsW,2025-04-15 06:05:07.454239,2025-05-16 09:46:52.071127,,16.66,19.99,price_1RE5ZaGPQMseK89O5XEJ6VsW,4,controlplus,month,1,,main
79,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly_49_99_old,USD,t,t,50.19,20.00,60.23,prod_S8MI9o7mgAMYBC,price_1RE5ZcGPQMseK89OnK1gwBgO,2025-04-15 06:05:07.614352,2025-05-16 09:46:52.156904,,50.19,60.23,price_1RE5ZcGPQMseK89OnK1gwBgO,4,controlplus,month,3,,main
80,CP+ Subscription half-year,CP+ Subscription Half-year Plan,upplus_halfyear_64_99_old,USD,t,t,100.29,20.00,120.35,prod_S8MIlQRv4Nb8R6,price_1RE5ZgGPQMseK89OVnxBoL4v,2025-04-15 06:05:07.780383,2025-05-16 09:46:52.316822,,100.29,120.35,price_1RE5ZgGPQMseK89OVnxBoL4v,4,controlplus,month,6,,main
81,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly_39_99_old,USD,t,t,62.88,20.00,75.45,prod_S8MIwtH66g5w5e,price_1RE5ZeGPQMseK89OurouxZuz,2025-04-15 09:14:14.694882,2025-05-16 09:46:52.236485,,62.88,75.45,price_1RE5ZeGPQMseK89OurouxZuz,4,controlplus,month,3,,main
82,CP+ Subscription half-year,CP+ Subscription Half-year Plan,upplus_halfyear_49_99_old,USD,t,t,126.23,20.00,151.48,prod_S8MIU1B94Kd966,price_1RE5ZhGPQMseK89ONpJhPtFK,2025-04-15 09:14:14.941819,2025-05-16 09:46:52.400744,,126.23,151.48,price_1RE5ZhGPQMseK89ONpJhPtFK,4,controlplus,month,6,,main
